,Function,Taylor Expression
0,-sqrt(x**2 + 1) - exp(x),x**4/12 - x**3/6 - x**2 - x - 2
1,exp(1.0*x**3*sin(x)),1.0*x**4 + 1
2,3*x**2*sqrt(x**2 + 1),3*x**2*(x**2 + 2)/2
3,-3*sqrt(x**2 + 1),3*x**4/8 - 3*x**2/2 - 3
4,log(4*x**4 + 1),4*x**4
5,x**2,x**2
6,-sin(3*sin(x)),x*(5*x**2 - 3)
7,log(1.0*log(x + 1)**2*sin(x)**2 + 1),1.0*x**4
8,sqrt(x**2 + 1) - 0.5*sin(x),-x**4/8 + 0.0833333333333333*x**3 + x**2/2 - 0.5*x + 1
9,sin(x**3),x**3
10,3*x**2,3*x**2
11,log(9*exp(2*x) + 1),69*x**4/2500 - 12*x**3/125 + 9*x**2/50 + 9*x/5 + log(10)
12,2*log(x + 1) + 0.5*sin(x),x*(-x**3 + 1.16666666666667*x**2 - 2*x + 5.0)/2
13,-3*log(x + 1)*sin(x),x**2*(-x**2 + 3*x - 6)/2
14,log(1.0*exp(2*x)*cos(x)**2 + 1),-0.0416666666666667*x**4 - 0.5*x**3 + 1.0*x + 0.693147180559945
15,-sin(x**2),-x**2
16,exp(0.5*x),0.00260416666666667*x**4 + 0.0208333333333333*x**3 + 0.125*x**2 + 0.5*x + 1
17,0.5*exp(x),0.0208333333333333*x**4 + 0.0833333333333333*x**3 + 0.25*x**2 + 0.5*x + 0.5
18,-1.5*sqrt(x**2 + 1)*log(x + 1),x*(0.75*x**3 - 1.25*x**2 + 0.75*x - 1.5)
19,sqrt(x**2 + 1),-x**4/8 + x**2/2 + 1
20,3*x**3 - 2*log(x + 1),x*(3*x**3 + 14*x**2 + 6*x - 12)/6
21,3*exp(x),x**4/8 + x**3/2 + 3*x**2/2 + 3*x + 3
22,6*sqrt(x**2 + 1)*log(x + 1),x*(-3*x**3 + 5*x**2 - 3*x + 6)
23,sin(2*x**2),2*x**2
24,-2*x**3,-2*x**3
25,-3*sqrt(x**2 + 1),3*x**4/8 - 3*x**2/2 - 3
26,-sin(3*x),9*x**3/2 - 3*x
27,cos(x),x**4/24 - x**2/2 + 1
28,cos(3*exp(x) + log(x + 1)),x**4*(164*cos(3) + 195*sin(3))/24 + x**3*(59*sin(3) - 24*cos(3))/6 - x**2*(8*cos(3) + sin(3)) - 4*x*sin(3) + cos(3)
29,2*exp(x),x**4/12 + x**3/3 + x**2 + 2*x + 2
30,-0.5*sin(x),x*(0.0833333333333333*x**2 - 0.5)
31,6*x**2*exp(x),3*x**2*(x**2 + 2*x + 2)
32,exp(3*x*cos(x)),-9*x**4/8 + 3*x**3 + 9*x**2/2 + 3*x + 1
33,-log(x + 1)*cos(x),x*(x**2 + 3*x - 6)/6
34,-0.5*x,-0.5*x
35,3*cos(x)**2,x**4 - 3*x**2 + 3
36,exp(x)*cos(x),-x**4/6 - x**3/3 + x + 1
37,-x**2 + 0.5*exp(x),0.0208333333333333*x**4 + 0.0833333333333333*x**3 - 0.75*x**2 + 0.5*x + 0.5
38,2*sqrt(x**2 + 1),-x**4/4 + x**2 + 2
39,exp(-1.0*x**2*sin(x)),1 - 1.0*x**3
40,-0.5*exp(x) - 2*cos(x),-0.104166666666667*x**4 - 0.0833333333333333*x**3 + 0.75*x**2 - 0.5*x - 2.5
41,-sqrt(x**2 + 1),x**4/8 - x**2/2 - 1
42,1/(x**3*exp(2*sqrt(x**2 + 1)) + 3*x**2*exp(2*sqrt(x**2 + 1)) + 3*x*exp(2*sqrt(x**2 + 1)) + exp(2*sqrt(x**2 + 1))),(39*x**4 - 28*x**3 + 20*x**2 - 12*x + 4)*exp(-2)/4
43,x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
44,-2*x**3 - exp(x),-x**4/24 - 13*x**3/6 - x**2/2 - x - 1
45,sin(2*x**3),2*x**3
46,-2*x**2*sqrt(x**2 + 1),x**2*(-x**2 - 2)
47,-1.5*x**2*log(x + 1),x**3*(0.75*x - 1.5)
48,2*sqrt(x**2 + 1),-x**4/4 + x**2 + 2
49,x**2 + 3*sqrt(x**2 + 1),-3*x**4/8 + 5*x**2/2 + 3
50,0.25*exp(2*x),0.166666666666667*x**4 + 0.333333333333333*x**3 + 0.5*x**2 + 0.5*x + 0.25
51,0.5*x - sin(x),x*(x**2 - 3.0)/6
52,2*x*cos(x),x*(2 - x**2)
53,-1.0*log(x + 1)*cos(x),x*(0.166666666666667*x**2 + 0.5*x - 1.0)
54,4*x**4,4*x**4
55,log(cos(x)**2 + 1),x**4/24 - x**2/2 + log(2)
56,-6*exp(x)*sin(x),2*x*(-x**2 - 3*x - 3)
57,-2*x**3,-2*x**3
58,-2*x,-2*x
59,-sin(2*exp(x)*log(x + 1)),x*(6*x**3 + 2*x**2 - 3*x - 6)/3
60,-6*exp(x)*cos(x),x**4 + 2*x**3 - 6*x - 6
61,-0.5*sqrt(x**2 + 1),0.0625*x**4 - 0.25*x**2 - 0.5
62,-3*x**2,-3*x**2
63,1.5*x**2,1.5*x**2
64,-exp(x),-x**4/24 - x**3/6 - x**2/2 - x - 1
65,exp(3*x**2),9*x**4/2 + 3*x**2 + 1
66,0.5*x**2,0.5*x**2
67,-3*x**2,-3*x**2
68,-1.0*log(x + 1)**2,x**2*(-0.916666666666667*x**2 + 1.0*x - 1.0)
69,log(cos(x)**2 + 1),x**4/24 - x**2/2 + log(2)
70,cos(9*sqrt(x**2 + 1)*cos(x)),3*x**4*sin(9) + cos(9)
71,-2*x**3,-2*x**3
72,sin(x**2),x**2
73,0.25*x**6 - 0.5*x**3*cos(x) + 0.25*cos(x)**2,0.0833333333333333*x**4 - 0.5*x**3 - 0.25*x**2 + 0.25
74,exp(2*x**3),2*x**3 + 1
75,0.25*sqrt(x**2 + 1)*sin(x),x*(0.0833333333333333*x**2 + 0.25)
76,-2*x**4,-2*x**4
77,9*cos(x)**2,3*x**4 - 9*x**2 + 9
78,4*x**4 - 12*x**3 + 9*x**2,x**2*(4*x**2 - 12*x + 9)
79,-cos(x),-x**4/24 + x**2/2 - 1
80,-2*x - 2*sqrt(x**2 + 1),x**4/4 - x**2 - 2*x - 2
81,exp(2*x**2)*exp(3*exp(x)),(215*x**4 + 124*x**3 + 64*x**2 + 24*x + 8)*exp(3)/8
82,-2*x,-2*x
83,cos(1.0*x*sqrt(x**2 + 1)),-0.458333333333333*x**4 - 0.5*x**2 + 1
84,-2*x**3 + 0.5*sin(x),x*(0.5 - 2.08333333333333*x**2)
85,-x**3 - 3*x**2,x**2*(-x - 3)
86,sin(0.5*x*log(x + 1)),x**2*(0.166666666666667*x**2 - 0.25*x + 0.5)
87,-2*x**3 - cos(x),-x**4/24 - 2*x**3 + x**2/2 - 1
88,-1.0*exp(x)*sin(x),x*(-0.333333333333333*x**2 - 1.0*x - 1.0)
89,-3*exp(x) - 0.5*log(x + 1),-0.666666666666667*x**3 - 1.25*x**2 - 3.5*x - 3
90,cos(1.5*x**2*cos(x)),1 - 1.125*x**4
91,cos(2*sin(x) - 2*cos(x)),5*x**4*(-5*sin(2) + 2*cos(2))/12 - x**3*(6*cos(2) + 5*sin(2))/3 + x**2*(-2*cos(2) + sin(2)) + 2*x*sin(2) + cos(2)
92,cos(sin(x)),5*x**4/24 - x**2/2 + 1
93,0.5*x**3 - 0.5*sqrt(x**2 + 1),0.0625*x**4 + 0.5*x**3 - 0.25*x**2 - 0.5
94,-2*x**3,-2*x**3
95,3*exp(x)*log(x + 1),x*(2*x**2 + 3*x + 6)/2
96,log(9*x**6 - 12*x**3*cos(x) + 4*cos(x)**2 + 1),-4*x**4/75 - 12*x**3/5 - 4*x**2/5 + log(5)
97,log(x + 1)**2,x**2*(11*x**2/12 - x + 1)
98,-0.5*x**2,-0.5*x**2
